,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
0,GLOBRIDGE GROUP CORPORATION,DATA ANALYST,"30,000","TUSTIN, CA",05/12/2022,10/01/2022
1,COMPLEX INDUSTRIES INC,DATA ANALYST,"38,000","MEMPHIS, TN",04/22/2022,10/01/2022
2,COMPLEX INDUSTRIES INC,DATA ANALYST,"48,000","MEMPHIS, TN",04/12/2022,10/01/2022
3,DATASYNC INC,DATA ANALYST,"51,920","BURLINGTON, NC",05/11/2022,10/01/2022
4,HENRY FORD HEALTH SYSTEM,DATA ANALYST,"53,940","FARMINGTON HILLS, MI",01/12/2022,02/01/2022
5,BTI SOLUTIONS INC,DATA ANALYST,"55,860","BELLEVUE, WA",05/24/2022,10/01/2022
6,MARK ANDREWS & COMPANY INC,DATA ANALYST,"55,940","ROCKWALL, TX",05/28/2022,10/01/2022
7,NIAGARA MACHINE INC,DATA ANALYST,"56,000","CHARLOTTE, NC",11/21/2022,12/05/2022
8,ITALLIANZ INC,DATA ANALYST,"56,000","CHICAGO, IL",05/12/2022,10/01/2022
9,QUANTUM TECHNOLOGIES INC,DATA ANALYST,"56,000","JOHNSTOWN, OH",05/24/2022,10/01/2022
10,CHEETAH NET SUPPLY CHAIN SERVICE INC,DATA ANALYST,"56,680","NEW YORK, NY",09/22/2022,10/17/2022
11,FAMILY HEALTH SERVICES MINNESOTA PA,DATA ANALYST,"59,460","ST. PAUL, MN",06/01/2022,10/01/2022
12,SPARKLE CONSULTING GROUP LLC,DATA ANALYST,"60,000","CAMBRIDGE, MA",02/01/2022,02/01/2022
13,EASY PLUS EDUCATION,DATA ANALYST,"60,000","DAVIS, CA",04/25/2022,10/01/2022
14,KYYBA TECH INC,DATA ANALYST,"60,000","FARMINGTON HILLS, MI",05/24/2022,10/01/2022
15,BEST HIGH TECHNOLOGIES LLC,DATA ANALYST,"61,000","ROUND ROCK, TX",06/16/2022,10/01/2022
16,ICONMA LLC,DATA ANALYST,"61,160","RICHMOND, VA",04/28/2022,10/01/2022
17,ASTA CRS INC,DATA ANALYST,"61,160","RICHMOND, VA",04/28/2022,10/01/2022
18,SHOE MAGNATE INC,DATA ANALYST,"61,160","CITY OF INDUSTRY, CA",05/09/2022,10/01/2022
19,ASTA CRS INC,DATA ANALYST,"61,160","RICHMOND, VA",05/18/2022,10/01/2022
20,DATA CONCEPTS LLC,DATA ANALYST,"61,160","CANTON, OH",06/21/2022,10/01/2022
21,INFINIGLOBE LLC,DATA ANALYST,"62,000","NEWPORT BEACH, CA",05/02/2022,05/12/2022
22,PLV INFO GENIUS LLC,DATA ANALYST,"64,200","PHILADELPHIA, PA",09/01/2022,09/07/2022
23,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"65,800","MALDEN, MA",05/12/2022,10/01/2022
24,INTERNATIONAL ACADEMIES OF EMERGENCY DISPATCH,DATA ANALYST,"66,000","AUSTIN, TX",04/12/2022,05/02/2022
25,INTERNATIONAL ACADEMIES OF EMERGENCY DISPATCH,DATA ANALYST,"66,000","AUSTIN, TX",04/12/2022,05/02/2022
26,NATIONAL ACADEMIES OF EMERGENCY DISPATCH,DATA ANALYST,"66,000","AUSTIN, TX",04/22/2022,05/02/2022
27,URBAN LEAF CO,DATA ANALYST,"66,000","TRACY, CA",04/28/2022,10/01/2022
28,MARK ANDREWS & COMPANY INC,DATA ANALYST,"66,720","ROCKWALL, TX",05/17/2022,10/01/2022
29,NIRVANA ENTERPRISES LLC,DATA ANALYST,"67,000","ROUND ROCK, TX",06/06/2022,10/01/2022
30,XENONINFOTEK INC,DATA ANALYST,"67,140","BRONX, NY",05/04/2022,10/01/2022
31,XENONINFOTEK INC,DATA ANALYST,"67,140","BRONX, NY",05/04/2022,10/01/2022
32,IM PRO MAKE UP NY LP,DATA ANALYST,"67,140","NEW YORK, NY",06/08/2022,06/15/2022
33,NMSI INC,DATA ANALYST,"67,380","LOS ANGELES, CA",04/10/2022,10/01/2022
34,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"67,380","LA VERNE, CA",05/26/2022,10/01/2022
35,JINS TECH CORPORATION,DATA ANALYST,"67,800","HOUSTON, TX",04/20/2022,05/02/2022
36,JPC LOGISTICS LLC,DATA ANALYST,"68,120","HILLSBOROUGH, NJ",06/17/2022,10/01/2022
37,WIT INC,DATA ANALYST,"68,840","VIENNA, VA",04/13/2022,10/01/2022
38,BLUESTONE STAFFING SOLUTIONS,DATA ANALYST,"69,000","GREENVILLE, SC",01/12/2022,01/20/2022
39,EVERGREEN MEDICAL CLINIC PC,DATA ANALYST,"69,180","NEW YORK, NY",01/14/2022,02/01/2022
40,COMPUTER AID INC,DATA ANALYST,"69,200","MUNCIE, IN",03/08/2022,09/07/2022
41,SMART CHOICE PROPERTIES LLC,DATA ANALYST,"70,000","NEW YORK, NY",11/16/2022,12/01/2022
42,LANCESOFT INC,DATA ANALYST,"70,000","MALDEN, MA",06/01/2022,10/01/2022
43,PRO-TEK CONSULTING,DATA ANALYST,"70,000","HAWTHORNE, CA",06/09/2022,10/01/2022
44,ARTECH LLC,DATA ANALYST,"70,000","GLEN ALLEN, VA",06/09/2022,10/01/2022
45,QUINN GROUP INC,DATA ANALYST,"70,580","BAKERSFIELD, CA",08/04/2022,09/20/2022
46,FANCY VALLEY LLC,DATA ANALYST,"70,860","SAN LEANDRO, CA",06/13/2022,10/01/2022
47,NIRVANA ENTERPRISES LLC,DATA ANALYST,"71,000","CREVE COEUR, MO",06/23/2022,10/01/2022
48,POPULUS GROUP LLC,DATA ANALYST,"71,800","COLUMBUS, OH",04/13/2022,10/01/2022
49,JANCO E-COMMERCE SOLUTIONS (USA) INC,DATA ANALYST,"72,000","CITY OF INDUSTRY, CA",01/03/2022,02/07/2022
50,HCL GLOBAL SYSTEMS INC,DATA ANALYST,"72,400","STAMFORD, CT",06/07/2022,10/01/2022
51,XENONINFOTEK INC,DATA ANALYST,"72,760","ATLANTA, GA",01/09/2022,01/09/2022
52,1898 CAPITAL MANAGEMENT LLC,DATA ANALYST,"72,920","MISSOURI CITY, TX",06/07/2022,10/01/2022
53,1898 CAPITAL MANAGEMENT LLC,DATA ANALYST,"72,920","MISSOURI CITY, TX",06/09/2022,10/01/2022
54,1898 CAPITAL MANAGEMENT LLC,DATA ANALYST,"72,920","ARLINGTON, VA",06/17/2022,10/01/2022
55,POPULUS GROUP LLC,DATA ANALYST,"73,060","DURHAM, NC",04/13/2022,10/01/2022
56,KIMBALL TECH INC,DATA ANALYST,"73,120","LINCOLNSHIRE, IL",04/18/2022,10/01/2022
57,POINT FOCAL INC,DATA ANALYST,"73,380","BELMONT, MA",05/20/2022,10/01/2022
58,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"73,740","ST PAUL, MN",04/22/2022,10/01/2022
59,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"73,740","ST PAUL, MN",04/27/2022,10/01/2022
60,ICONMA LLC,DATA ANALYST,"73,900","PLANO, TX",04/27/2022,10/01/2022
61,LEWIS BRISBOIS BISGAARD & SMITH LLP,DATA ANALYST,"73,940","ALHAMBRA, CA",04/12/2022,10/01/2022
62,WIZDOM IT INC,DATA ANALYST,"74,000","NEW BERLIN, WI",02/13/2022,02/14/2022
63,PLV INFO GENIUS LLC,DATA ANALYST,"74,000","SECAUCUS, NJ",09/10/2022,09/15/2022
64,LIEPIN NORTH AMERICA INC,DATA ANALYST,"74,000","BOSTON, MA",04/25/2022,10/01/2022
65,LIEPIN NORTH AMERICA INC,DATA ANALYST,"74,000","BOSTON, MA",05/03/2022,10/01/2022
66,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"74,020","SAN ANTONIO, TX",04/21/2022,10/01/2022
67,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"74,020","SAN ANTONIO, TX",04/22/2022,10/01/2022
68,MESONS TECHNOLOGIES LLC,DATA ANALYST,"74,320","DOWNINGTOWN, PA",11/22/2022,11/28/2022
69,DATASYNC INC,DATA ANALYST,"74,600","PITTSBURGH, PA",05/11/2022,10/01/2022
70,BLUESTONE STAFFING SOLUTIONS,DATA ANALYST,"75,180","GREENSVILLE, SC",01/13/2022,01/20/2022
71,ICONMA LLC,DATA ANALYST,"75,480","RICHMOND, VA",03/09/2022,03/09/2022
72,XENONINFOTEK INC,DATA ANALYST,"75,480","RICHMOND, VA",04/11/2022,10/01/2022
