Job_ID|Job_Details|Benefits|Full_Desc|Hiring_Ins|Pay Rate|Job Type|Salary Range Lower|Salary Range Upper|Salary Average
0|job details salary 70000  85000 a year job type fulltime|"benefits
pulled from the full job description
401k
401k matching
health insurance
paid time off
parental leave"|full job description brainsell is seeking a crm business analyst consultant to engage with our customers as part of our fastgrowing consulting team the successful candidate will work to understand and document customers’ current and proposed business processes research crm softwareenabled improvement opportunities and develop recommendations for software that will meet customer requirements leading candidates will have experience in more than one of the following sales sales operations process mapping business intelligence crm software marketing automation software data analyticsbusiness intelligence responsibilities generate creative solutions to customer’s business problems work closely with customer’s business units to gain an indepth understanding of their challenges constraints and growth objectives use broad experience in operations technology and data solutions to generate recommendations for driving change within a company lead meetingsworkshops to discover visualize and document existing and future customer business process flows andor requirements map customer’s internal processes to understand strategy and identify opportunities to streamline processes share insights and learnings to help customers improve their business processes while leveraging existing or new technologies align processes with supporting technologies to showcase recommendations to address customer pain points research customer’s technology stack data and processes and identify any risks issues or pain points and identify opportunities for alignment help identify challenges and opportunities for digital transformation participate in presales activities to help develop relationships and provide consulting expertise advise customers on the planning delivery and management of innovative technology initiatives stay on top of emerging technology trends and methodologies collaborate with sales customer success and marketing teams to identify opportunities to design and deliver data or technology capabilities and offerings present professionalgrade deliverables and presentations documenting ideas decisions and recommendations requirements 5 years of experience as a solutions consultant or business analyst in the saas industry with advanced business knowledge in sales sales operations marketing or financeaccounting business functions and processes experience presenting to internal and external stakeholders ie customers experience facilitating stakeholder discovery and requirements gathering sessions direct experience in delivering multifaceted projects using agilescrum or other methodologies experience working with technical and business users strong soft skills with the ability to partner effectively with various crossfunctional teams strong knowledge of lineofbusiness applications and platforms such as crmcx marketing automation integrations erp cloud software customer service software etc must have the ability to effectively manage varied workload in a fastpaced often ambiguous environment demonstrated structured problemsolving approach to help a team work through a wide range of issues organized with an eye for process optimization and efficiency excellent communication skills strong attention to detail experience with microsoft 365 apps outlook excel word powerpoint onenote onedrive sharepoint and process mapping software such as visio or lucidchart job type fulltime pay 7000000  8500000 per year benefits 401k matching health insurance paid time off parental leave schedule monday to friday ability to commuterelocate danvers ma 01923 reliably commute or planning to relocate before starting work required experience salessales operations 2 years preferred crm software 2 years required process mapping 2 years required work location hybrid remote in danvers ma 01923  health insurance|Hiring Insights Hiring 1 candidate for this role Urgently hiring Job activity Posted 14 days ago|Yearly|NA|70000|85000|77500.0
1|job details salary 18  24 an hour job type fulltime|"benefits
pulled from the full job description
dental insurance
disability insurance
health insurance
health savings account
life insurance
paid time off
parental leave
retirement plan
vision insurance"|we have an opening for a data analyst who is proficient in using computers for analysis of scientific data the successful candidate will join our data services team reporting to the data processing manager and working with field operators and the project coordinator to deliver quality analysis results to clients using our proprietary icc connect software as well as standard analysis tools the data analyst will validate data collected by the automated systems on our vehicles process and extract additional data and summarize the data for the client the ideal candidate is an organized handson problem solver with high attention to detail who enjoys working with computers while collaborating proactively with colleagues and customers jobspecific training will be provided about us based in largo fl international cybernetics company icc has designed and manufactured devices to collect road surface data since its founding in 1975 as a respected global leader in road data collection equipment iccs equipment measures road friction pavement profile roughness texture cracking and other defects on the road surface the company also provides collection and processing of road condition data for statesprovinces and civil engineering consultants as a result of a may 2022 acquisition of ims infrastructure management services founded in 1985 and based in tempe az icc is now also the parent company of one of the largest providers of pavement management services to municipalities and counties in the united states the transaction combines industryleading technology development and software teams pavement engineers data processing specialists field operators and equipment build teams into one effective organization icc additionally operates a canadian subsidiary international cybernetics canada inc which serves canadian clients and employs canadian team members responsible for processing growing data volumes collected during iccs surveying activities we take pride in being a great workplace for everyone at icc  from our engineers to field crews this starts with a culture based on our five 5 core values which we use as the foundation of our hiring and performance review processes put the customer first develop expertise act with integrity avoid surprises recognize and reward the company has a bright future in the new age of road data collection technology and is looking for team members who wish to be part of that vision benefits 100 employerpaid health benefit for employee coverage dental long term disability group life insurance voluntary shortterm disability and life insurance retirement plan with employer match paid time off responsibilities process data collected by the sensors and systems on icc vehicles using iccs proprietary software all training will be provided using icc connect confirm the matching to the client’s road network locate key features in the images such as intersections and railroad crossings validate the detection of defects in the road surface using icc connect calculate overall condition metrics such as the pavement condition index pci for each section of road meet with clients during project kickoff meetings status meetings and closeout meetings assist with testing of new software features and validate that calculations are being done as expected occasionally contribute to writing white papers on relevant and interesting topics to educate our customers and to highlight icc capabilities and products identify opportunities to improve the software and feed these ideas into the product development backlog occasionally assist the customer support team as they meet with clients to explain new features and train users in icc connect work in partnership with fellow analysts engineers and software developers on continuous improvements to programs and processes hold self and others to a high standard of ethical and interpersonal conduct to protect and build the icc brand and to safeguard team morale proactively identify problems and recommend solutions before they impact the project quality or delivery timeframes primary job responsibilities are those an employee must perform with or without reasonable accommodation the list of requirements duties and responsibilities is not exhaustivebut is the most accurate for the current job icc reserves the right to revise the job description and to require other duties be performed as needed qualifications are you the right person for this job find yourself spotting patterns or finding anomalies in data great problem solver comfortable working independently with a remote team organized and able to handle multiple priorities required qualifications bachelors degree or associatetechnologist diploma in science math engineering or other technical field progressive data analysis experience gained during internships coop or entrylevel positions experience with desktop software in microsoft windows 10 proficient with excel familiar with databases and sql strong problemsolving and data analysis skills nicetohave qualifications experience with data analysis software dashboards and rich visualizations such as in matlab r octave mathematica tableau or similar experience with pavement management systems such as paver streetsaver cartegraph deighton dtims agile assets or others would be an asset experience with gis software gps surveying andor data processing experience with road condition data processing or asset inventory job type fulltime pay 1800  2400 per hour benefits dental insurance health insurance health savings account life insurance paid time off parental leave retirement plan vision insurance compensation package bonus pay schedule 8 hour shift day shift monday to friday work location one location  health insurance|Hiring Insights Application response rate: 90% Hiring 1 candidate for this role Urgently hiring Job activity Employer reviewed job 3 days ago Posted 11 days ago|Hourly|NA|18|24|21.0
2|na|na|lake appliance repair is seeking an experienced data analyst to add to our growing team we are among the largest privately held appliance repair companies and we want you to join us what good is data if we can’t see it laid out in a visually appealing easy to see and understand way you will be pulling data from a variety of data sources to blend the information analyze and develop data on kpis report findings and make suggestions to the management team learn more about this position below and if you’re interested in applying fill out the application form and attach your resume for consideration we look forward to meeting with you|Hiring Insights Job activity Posted 30+ days ago|NA|NA|NA|NA|NA
3|job details salary 20 an hour job type fulltime|na|parttime data entry analyst  solvas financial technology  work youll do this is a parttime syndicated loan data entry analyst opportunity supporting the solvasdigitize managed service job duties include review syndicated loan notices for manual extraction and data input review automated data extraction results speed and accuracy when reviewing andor inputting data ability to work independently and without direct supervision while adhering to strict deadlines comfortable working in a fastpaced environment strong communication skills both verbal and through email communication excellent analytical skills attention to detail and strong organizational skills this is temporary hourly position with core hours between 400 am and 700 pm est although other hours may be required based on business need shifts are scheduled in minimum of 4 hour increments and a minimum of 8 hours is expected during peak days typically 2  3 days per month the days worked per month are typically 3 to 10 days only this is not a regular parttime position and there are regular hours  working days are based exclusively on business needs and are expected to be variable  the team  our financial technology practice develops and licenses a growing family of proprietary software products and service solutions see wwwdeloittecomft  to assist financial institutions with a number of complex topics such as accounting for credit deteriorated assets and the administration of investments in leveraged loans  we are looking to add professionals to support our solvasdigitize™ solution team  wwwsolvasdigitizecom  solvasdigitize is an intelligent automation solution and managed service that is experiencing rapid growth and expansion across various industries and applications  qualifications bachelors degree or 1 year of relevant work experience proficiency with all current technology and microsoft office 365 programs including but not limited to laptop functionality video conferencing software ie zoom microsoft teams and skype ability to utilize multiple web applications at least 2 simultaneously microsoft teams online software programs for data entry flexibility in terms of work hours and workdays is required ability to find specific data points based on guidancelogical reasoning syndicated loan experience is preferred but is not required must be legally authorized to work in the united states without the need for employer sponsorship now or at any time in the future  for individuals assigned andor hired to work in washington state deloitte is required by law to include a reasonable estimate of the compensation range for this role this compensation range is specific to washington state and takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets experience and training licensure and certifications and other business and organizational needs at deloitte it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case a reasonable estimate of the current rate of pay is 20 per hour  other details ndo 2023  work timing  parttime hourly basis with core hours between 400 am and 700 pm eastern standard time on specific days of each month based on business need occasional weekend and holiday coverage will be required  location  any us location will be considered for the appropriate candidate team is located primarily in the new york dallas and houston metropolitan areas  travel  travel will be rare if required at all|Hiring Insights Job activity Employer reviewed job 5 days ago Posted 30+ days ago|Hourly|NA|NA|NA|20
4|job details salary 9775  11657 a month job type fulltime|"benefits
pulled from the full job description
401k
dental insurance
health insurance
opportunities for advancement
paid time off
parental leave
vision insurance"|california public employees’ retirement system calpers is a global institutional investor and the nation’s largest public pension fund with assets of approximately 45468 billion as of april 6 2023 headquartered in downtown sacramento we are a destination employer with an international reputation for leadership and innovation at calpers we’re committed to people – the people we serve our team members and the larger community around us calpers is situated near the napa valley san francisco lake tahoe and other desirable destinations and we offer competitive benefit packages compensation and opportunities for advancement our people are deeply committed to our mission  visionand their decisions and actions are guided by our investment beliefs our global fixed income group is currently seeking an investment officer iii to provide sovereign research analysis portfolio recommendations and drive our calpers mission duties will include but are not limited to act as a lead and independently provide support research and analysis to the investment manager im and the associate investment manager aim on emerging markets sovereign  quasi sovereign bonds provide support to the managers by creating and maintaining country models investment analysis and various research projects focusing on emerging markets sovereign  quasi sovereign bonds independently prepare accurate and thorough research reports or analyses on subjects assigned by the ims stay informed regarding research and developments in the asset classes and markets represented within the program independently monitor andor direct the monitoring of the external investment managers for performance style guideline and operational issues telework information this position is eligible for a hybrid work schedule with up to two days of remote work and three days or more onsite per week job type fulltime pay 977500  1165700 per month benefits 401k dental insurance health insurance paid time off parental leave vision insurance schedule 8 hour shift ability to commuterelocate sacramento ca 95811 reliably commute or planning to relocate before starting work preferred experience sql 1 year preferred work location hybrid remote in sacramento ca 95811  health insurance|Hiring Insights Hiring 1 candidate for this role Job activity Posted 1 day ago|Monthly|NA|9775|11657|10716.0
5|job details salary up to 50000 a year job type fulltime|"benefits
pulled from the full job description
401k
401k matching
dental insurance
health insurance
health savings account
life insurance
paid time off
professional development assistance
vision insurance"|supply chain  operations  data analysis supply chain  operations and data analyst up to 50000 to start plus great benefits and bonus as supply chain operations and data analyst you will receive complete training gather compile prepare and analyze data conduct additional market research as necessary summarize results insights and trends and other key findings run routine and special reports make recommendations based on your analysis identify shortcomings and areas for improvement uphold document and data control procedures review and update company sops collaborate crossfunctionally with various internal departments handle special projects perform other duties as assigned an ideal candidate profile will include data analysis  data analyst  data analytics experience pluses  a bachelors degree joliet area  channahon il jobgiraffes client is a specialist in transportation management jg id 222147  channahon il 60410 – pam wing lead recruiter job type fulltime pay up to 5000000 per year benefits 401k 401k matching dental insurance health insurance health savings account life insurance paid time off professional development assistance vision insurance schedule monday to friday education bachelors preferred experience data analysis  data analyst  data analytics 1 year preferred work location in person  health insurance|Hiring Insights Hiring 1 candidate for this role Urgently hiring Job activity Posted 3 days ago|Yearly|NA|NA|NA|50000
6|job details salary 5518  6907 a month job type fulltime|"benefits
pulled from the full job description
dental insurance
health insurance
paid time off
retirement plan
vision insurance"|this position is a statewide recruitment the incumbent will be headquartered at any investigations office including but not limited to the following counties sacramento stanislaus los angeles orange san diego and riverside final filing date 462023 desirable qualifications gathers tabulates and analyzes data using various software packages evaluates and projects data and evaluation criteria necessary to assess the impact of fraud by utilizing a variety of models analytical methods and software prepares plainlanguage documentation of the meaning of data for use by investigative staff when interpreting analyses reports and data visualizations collects qualitative information from investigators management and other stakeholders regarding fraudulent behavior works with it developers to test scripts and changes to reporting streams to better identify and measure the incidence of fraud prepares written report and oral presentations summarizing findings and analyses for use by investigative staff and management applicants must apply on the calcareers link provided below calcareerscagovcalhrpublicjobsjobpostingaspxjobcontrolid361141 job type fulltime pay 551800  690700 per month benefits dental insurance health insurance paid time off retirement plan vision insurance schedule 8 hour shift monday to friday work location one location  health insurance|Hiring Insights Hiring 2 candidates for this role Urgently hiring Job activity Posted 19 days ago|Monthly|NA|5518|6907|6212.5
7|job details salary 45000  55000 a year job type fulltime|"benefits
pulled from the full job description
401k
401k matching
dental insurance
employee discount
free flu shots
free parking
health insurance
paid time off
vision insurance"|medical administrative and data analyst asaar medical is the leader in healthcare innovation located in boca raton we are looking for a bright polished mature and steady analyst who has a command of their craft if you are an excel expert and a microsoft office wiz and have the basic understanding of medical principals we want to speak with you we offer a competitive salary and benefits package and bonuses proven track record is a must and this is not a remote position job type fulltime pay 4500000  5500000 per year benefits 401k matching dental insurance employee discount free flu shots free parking health insurance paid time off vision insurance healthcare setting clinic medical office medical specialties geriatrics internal medicine schedule 5x8 8 hour shift day shift monday to friday no weekends ability to commuterelocate boca raton fl 33496 reliably commute or planning to relocate before starting work required education associate preferred experience customer service 3 years preferred medical terminology 3 years required computer skills 3 years required work location in person  health insurance|Hiring Insights Application response rate: 71% Hiring 1 candidate for this role Urgently hiring Job activity Employer reviewed job 3 days ago Posted 30+ days ago|Yearly|NA|45000|55000|50000.0
8|job details salary 133786  225400 a year job type fulltime|"benefits
pulled from the full job description
401k
401k matching
add insurance
adoption assistance
dental insurance
disability insurance
employee stock purchase plan
flexible spending account
health insurance
life insurance
paid parental leave
paid sick time
paid time off
parental leave
pet insurance
vision insurance"|details posted 06apr23 location rocklin california type full time categories operations academic designation industry work function analysts business analysis operations management internal number 38519191 oracle america inc has openings for business analyst positions in rocklin california job duties include provide programs to improve operational efficiency consistency and compliance in support of the organization’s financial and tactical business objectives may telecommute range and benefit information provided in this posting are specific to the stated locations california pay range from 133786 to 225400 per annum eligible for bonus and equity oracle maintains broad salary ranges to account for variations in knowledge skills experience market conditions and to reflect oracle’s differing products industries  lines of business candidates typically placed into range based on preceding factors and internal peer equity oracles offered benefits include the following 1 medical dental and vision insurance including expert medical opinion 2 short term disability and long term disability 3 life insurance and add 4 supplemental life insurance employeespousechild 5 health care and dependent care flexible spending accounts 6 pretax commuter and parking benefits 7 401k savings and investment plan with company match 8 paid time off flexible vacation is provided to all eligible employees assigned to a salaried nonovertime eligible position accrued vacation is provided to all other employees eligible for vacation benefits for employees working at least 35 hours per week the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment vacation accrual is prorated for employees working between 20 and 34 hours per week employees working fewer than 20 hours per week are not eligible for vacation 9 11 paid holidays 10 paid sick leave 72 hours of paid sick leave upon date of hire refreshes each calendar year unused balance will carry over each year up to a maximum cap of 112 hours 11 paid parental leave 12 adoption assistance 13 employee stock purchase plan 14 financial planning and group legal 15 voluntary benefits including auto homeowner and pet insurance apply by emailing resume to shubhdwibedyoraclecom referencing 38519191 oracle supports workforce diversity|Hiring Insights Job activity Posted 4 days ago|Yearly|NA|133786|225400|179593.0
9|job details salary 65000  75000 a year job type fulltime|"benefits
pulled from the full job description
401k
401k matching
continuing education credits
dental insurance
health insurance
health savings account
life insurance
paid time off
professional development assistance
relocation assistance
vision insurance"|we are growing in louisville we are currently looking for a bcba to build around in the louisville area the ideal candidate has experience leading great teams recruiting quality team members and a passion for providing top quality services to our clients and families adapt for life is a privately owned company that originated out of new albany indiana weve since grown to 7 open clinics across indiana and kentucky and excited to bring out services to additional communities in 2023 job responsibilities provide evidence based behavior analytic services to assigned patients complete individualized assessments for assigned patients collect and analyze data create and revise functional goals and programs for patients based upon assessments data collection and observation as well as evidence based interventions collaborate with families and other providers complete and submit all necessary paperwork for initial evaluations and reauthorization supervise and provide ongoing training to therapists and registered behavior technicians supervise assigned students seeking certification as bcbabcaba if applicable job requirements master’s degree mental health experience with codiagnosis preferred bcba certification solid technical skills and passion for quality services at least one year of experience in aba excellent communication skills both verbal and written organized and flexible excellent time management skills excellent computer skills reliable transportation job benefits medical dental vision and life insurance 6 paid holidays and up to 15 days paid time off salary will be commensurate with experience and certification matching 401k plan moving financial assistance available 250 per year for continuing education credits certification or licensure renewal fee reimbursement job type fulltime salary 6500075000 depending on experience  weekly bonuses up to 11100 annually benefits  401k 401k matching dental insurance health insurance health savings account life insurance paid time off professional development assistance relocation assistance retirement plan vision insurance  medical specialties  pediatrics  schedule  8 hour shift monday to friday  supplemental pay types  bonus pay  licensecertification  board certified behavior analyst certification required  work location one location powered by jazzhr  pi210628063|Hiring Insights Job activity Posted 9 days ago|Yearly|NA|65000|75000|70000.0
