,job_details,benefits,full_desc,hiring_ins
0,"Job details
Salary
$70,000 - $85,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
Health insurance
Paid time off
Parental leave","Full Job Description
BrainSell is seeking a CRM Business Analyst (Consultant) to engage with our customers as part of our fast-growing Consulting Team. The successful candidate will work to understand and document customers’ current and proposed business processes, research CRM software-enabled improvement opportunities, and develop recommendations for software that will meet customer requirements. Leading candidates will have experience in more than one of the following: sales, sales operations, process mapping, business intelligence, CRM software, Marketing Automation software, data analytics/business intelligence.
Responsibilities:
Generate creative solutions to customer’s business problems
Work closely with customer’s business units to gain an in-depth understanding of their challenges, constraints and growth objectives.
Use broad experience in operations, technology, and data solutions to generate recommendations for driving change within a company
Lead meetings/workshops to discover, visualize and document existing and future customer business process flows and/or requirements
Map customer’s internal processes to understand strategy and identify opportunities to streamline processes
Share insights and learnings to help customers improve their business processes while leveraging existing or new technologies; align processes with supporting technologies to showcase recommendations to address customer pain points
Research customer’s technology stack, data and processes, and identify any risks, issues, or pain points, and identify opportunities for alignment
Help identify challenges and opportunities for digital transformation
Participate in pre-sales activities to help develop relationships and provide consulting expertise
Advise customers on the planning, delivery, and management of innovative technology initiatives
Stay on top of emerging technology trends and methodologies
Collaborate with sales, customer success and marketing teams to identify opportunities to design and deliver data or technology capabilities and offerings
Present professional-grade deliverables and presentations documenting ideas, decisions, and recommendations
Requirements:
5+ years of experience as a Solutions Consultant or Business Analyst in the SaaS industry with advanced business knowledge in sales, sales operations, marketing or finance/accounting business functions and processes
Experience presenting to internal and external stakeholders (i.e., customers)
Experience facilitating stakeholder discovery and requirements gathering sessions
Direct experience in delivering multi-faceted projects using Agile/Scrum or other methodologies
Experience working with technical and business users
Strong soft skills with the ability to partner effectively with various cross-functional teams
Strong knowledge of line-of-business applications and platforms such as CRM/CX, Marketing Automation, Integrations, ERP, cloud software, Customer Service software, etc.
Must have the ability to effectively manage varied workload in a fast-paced, often ambiguous, environment
Demonstrated structured problem-solving approach to help a team work through a wide range of issues
Organized with an eye for process optimization and efficiency
Excellent communication skills
Strong attention to detail
Experience with Microsoft 365 apps (Outlook, Excel, Word, PowerPoint, OneNote, OneDrive, SharePoint) and process mapping software such as Visio or Lucidchart
Job Type: Full-time
Pay: $70,000.00 - $85,000.00 per year
Benefits:
401(k) matching
Health insurance
Paid time off
Parental leave
Schedule:
Monday to Friday
Ability to commute/relocate:
Danvers, MA 01923: Reliably commute or planning to relocate before starting work (Required)
Experience:
Sales/Sales Operations: 2 years (Preferred)
CRM software: 2 years (Required)
Process mapping: 2 years (Required)
Work Location: Hybrid remote in Danvers, MA 01923

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Urgently hiring
Job activity
Posted 14 days ago"
1,"Job details
Salary
$18 - $24 an hour
Job Type
Full-time","Benefits
Pulled from the full job description
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Retirement plan
Vision insurance","We have an opening for a Data Analyst who is proficient in using computers for analysis of scientific data. The successful candidate will join our data services team, reporting to the Data Processing Manager and working with Field Operators and the Project Coordinator to deliver quality analysis results to clients using our proprietary ICC Connect software as well as standard analysis tools. The Data Analyst will validate data collected by the automated systems on our vehicles, process and extract additional data, and summarize the data for the client. The ideal candidate is an organized, hands-on problem solver with high attention to detail who enjoys working with computers while collaborating proactively with colleagues and customers. Job-specific training will be provided.
About Us:
Based in Largo, FL, International Cybernetics Company (ICC) has designed and manufactured devices to collect road surface data since its founding in 1975. As a respected global leader in road data collection equipment, ICC's equipment measures road friction, pavement profile, roughness, texture, cracking, and other defects on the road surface. The company also provides collection and processing of road condition data for states/provinces and civil engineering consultants.
As a result of a May 2022 acquisition of IMS Infrastructure Management Services (founded in 1985 and based in Tempe, AZ), ICC is now also the parent company of one of the largest providers of pavement management services to municipalities and counties in the United States. The transaction combines industry-leading technology development and software teams, pavement engineers, data processing specialists, field operators, and equipment build teams into one effective organization. ICC additionally operates a Canadian subsidiary, International Cybernetics Canada, Inc., which serves Canadian clients and employs Canadian team members responsible for processing growing data volumes collected during ICC's surveying activities.
We take pride in being a great workplace for everyone at ICC - from our engineers to field crews. This starts with a culture based on our Five (5) Core Values, which we use as the foundation of our hiring and performance review processes:
Put the Customer First
Develop Expertise
Act with Integrity
Avoid Surprises
Recognize and Reward
The company has a bright future in the new age of road data collection technology and is looking for team members who wish to be part of that vision.
Benefits
100% employer-paid health benefit for employee coverage.
Dental
Long term disability
Group life insurance
Voluntary short-term disability and life insurance.
Retirement Plan with employer match
Paid Time Off
Responsibilities
Process data collected by the sensors and systems on ICC vehicles using ICC's proprietary software. All training will be provided.
Using ICC Connect, confirm the matching to the client’s road network, locate key features in the images such as intersections and railroad crossings, validate the detection of defects in the road surface.
Using ICC Connect, calculate overall condition metrics such as the Pavement Condition Index (PCI) for each section of road.
Meet with clients during project kickoff meetings, status meetings, and closeout meetings.
Assist with testing of new software features and validate that calculations are being done as expected.
Occasionally contribute to writing white papers on relevant and interesting topics to educate our customers and to highlight ICC capabilities and products.
Identify opportunities to improve the software and feed these ideas into the product development backlog.
Occasionally assist the customer support team as they meet with clients to explain new features and train users in ICC Connect.
Work in partnership with fellow analysts, engineers, and software developers on continuous improvements to programs and processes.
Hold self and others to a high standard of ethical and interpersonal conduct to protect and build the ICC brand and to safeguard team morale.
Proactively identify problems and recommend solutions before they impact the project quality or delivery timeframes.
Primary job responsibilities are those an employee must perform with or without reasonable accommodation. The list of requirements, duties, and responsibilities is not exhaustive,but is the most accurate for the current job. ICC reserves the right to revise the job description and to require other duties be performed as needed.
Qualifications
Are you the right person for this job?
Find yourself spotting patterns, or finding anomalies in data
Great problem solver
Comfortable working independently with a remote team
Organized, and able to handle multiple priorities
Required Qualifications
Bachelor's degree or Associate/Technologist diploma in science, math, engineering, or other technical field
Progressive data analysis experience gained during internships, co-op, or entry-level positions
Experience with desktop software in Microsoft Windows 10
Proficient with Excel; familiar with databases and SQL
Strong problem-solving and data analysis skills
Nice-to-Have Qualifications
Experience with data analysis software, dashboards, and rich visualizations such as in MATLAB, R, Octave, Mathematica, Tableau, or similar
Experience with pavement management systems such as PAVER, StreetSaver, Cartegraph, Deighton dTIMS, Agile Assets, or others would be an asset
Experience with GIS software, GPS surveying and/or data processing
Experience with road condition data processing or asset inventory
Job Type: Full-time
Pay: $18.00 - $24.00 per hour
Benefits:
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Retirement plan
Vision insurance
Compensation package:
Bonus pay
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: One location

Health insurance","Hiring Insights
Application response rate: 90%
Hiring 1 candidate for this role
Urgently hiring
Job activity
Employer reviewed job 3 days ago
Posted 11 days ago"
2,,,"Lake Appliance Repair is seeking an experienced Data Analyst to add to our growing team. We are among the largest privately held appliance repair companies and we want you to join us!
What good is data if we can’t see it laid out in a visually appealing, easy to see and understand way? You will be pulling data from a variety of data sources to blend the information, analyze and develop data on KPIs, report findings, and make suggestions to the Management Team.
Learn more about this position below! And if you’re interested in applying, fill out the application form and attach your resume for consideration. We look forward to meeting with you.","Hiring Insights
Job activity
Posted 30+ days ago"
3,"Job details
Salary
$20 an hour
Job Type
Full-time",,"Part-Time Data Entry Analyst - Solvas Financial Technology

Work you'll do
This is a part-time syndicated loan data entry analyst opportunity supporting the Solvas|Digitize Managed service. Job duties include:
Review syndicated loan notices for manual extraction and data input
Review automated data extraction results
Speed and accuracy when reviewing and/or inputting data
Ability to work independently and without direct supervision while adhering to strict deadlines
Comfortable working in a fast-paced environment
Strong communication skills (both verbal and through email communication)
Excellent analytical skills, attention to detail, and strong organizational skills
This is temporary, hourly position with core hours between 4:00 a.m. and 7:00 p.m. (EST), although other hours may be required based on business need.
Shifts are scheduled in minimum of 4 hour increments and a minimum of 8 hours is expected during peak days (typically 2 - 3 days per month)
The days worked per month are typically 3 to 10 days only. (This is not a regular part-time position and there are regular hours .) Working days are based exclusively on business needs and are expected to be variable.

The Team

Our Financial Technology practice develops and licenses a growing family of proprietary software products and service solutions (see www.deloitte.com/ft ) to assist financial institutions with a number of complex topics such as accounting for credit deteriorated assets and the administration of investments in leveraged loans.

We are looking to add professionals to support our Solvas|Digitize™ solution team ( www.solvasdigitize.com ). Solvas|Digitize is an intelligent automation solution and managed service that is experiencing rapid growth and expansion across various industries and applications.

Qualifications:
Bachelor's degree or 1+ year of relevant work experience
Proficiency with all current technology and Microsoft Office 365 programs, including, but not limited to:
Laptop functionality
Video conferencing software (i.e. Zoom, Microsoft Teams, and Skype)
Ability to utilize multiple web applications (at least 2) simultaneously
Microsoft Teams
Online software programs for data entry
Flexibility in terms of work hours and workdays is required
Ability to find specific data points based on guidance/logical reasoning
Syndicated loan experience is preferred, but is not required
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

For individuals assigned and/or hired to work in Washington State, Deloitte is required by law to include a reasonable estimate of the compensation range for this role. This compensation range is specific to Washington State and takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. At Deloitte, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current rate of pay is $20 per hour.

Other details: #NDO 2023

Work timing

Part-time, hourly basis with core hours between 4:00 a.m. and 7:00 p.m. Eastern Standard Time on specific days of each month based on business need. Occasional weekend and holiday coverage will be required.

Location

Any U.S. location will be considered for the appropriate candidate; team is located primarily in the New York, Dallas, and Houston metropolitan areas

Travel

Travel will be rare if required at all","Hiring Insights
Job activity
Employer reviewed job 5 days ago
Posted 30+ days ago"
4,"Job details
Salary
$9,775 - $11,657 a month
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
Dental insurance
Health insurance
Opportunities for advancement
Paid time off
Parental leave
Vision insurance","California Public Employees’ Retirement System (CalPERS) is a global institutional investor and the nation’s largest public pension fund, with assets of approximately $454.68 billion as of April 6, 2023. Headquartered in downtown Sacramento, we are a destination employer with an international reputation for leadership and innovation. At CalPERS, we’re committed to people – the people we serve, our team members, and the larger community around us. CalPERS is situated near the Napa Valley, San Francisco, Lake Tahoe, and other desirable destinations, and we offer competitive benefit packages, compensation, and opportunities for advancement. Our people are deeply committed to our Mission & Visionand their decisions and actions are guided by our Investment Beliefs.
Our Global Fixed Income group is currently seeking an Investment officer III to provide sovereign research analysis, portfolio recommendations, and drive our CalPERS mission.
Duties will include, but are not limited to:
Act as a lead and independently provide support, research and analysis to the Investment Manager (IM) and the Associate Investment Manager (AIM) on Emerging Markets Sovereign & Quasi Sovereign Bonds
Provide support to the managers by creating and maintaining country models, investment analysis, and various research projects focusing on Emerging Markets Sovereign & Quasi Sovereign Bonds
Independently prepare accurate and thorough research reports or analyses on subjects assigned by the IMs. Stay informed regarding research and developments in the asset classes and markets represented within the program
Independently monitor and/or direct the monitoring of the external investment managers for performance, style, guideline, and operational issues.
Telework Information: This position is eligible for a hybrid work schedule, with up to two days of remote work and three days or more onsite, per week.
Job Type: Full-time
Pay: $9,775.00 - $11,657.00 per month
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Parental leave
Vision insurance
Schedule:
8 hour shift
Ability to commute/relocate:
Sacramento, CA 95811: Reliably commute or planning to relocate before starting work (Preferred)
Experience:
SQL: 1 year (Preferred)
Work Location: Hybrid remote in Sacramento, CA 95811

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Job activity
Posted 1 day ago"
5,"Job details
Salary
Up to $50,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Vision insurance","Supply Chain / Operations / Data Analysis
Supply Chain - Operations and Data Analyst
Up to $50,000 to start plus great benefits and bonus
As Supply Chain Operations and Data Analyst, you will:
Receive complete training
Gather, compile, prepare and analyze data
Conduct additional market research as necessary
Summarize results, insights and trends and other key findings
Run routine and special reports
Make recommendations based on your analysis
Identify shortcomings and areas for improvement
Uphold document and data control procedures
Review and update company SOPs
Collaborate cross-functionally with various internal departments
Handle special projects
Perform other duties as assigned
An ideal candidate profile will include:
Data Analysis / Data Analyst / Data Analytics experience
Pluses:
+++ A Bachelor's Degree
Joliet Area - Channahon, IL
JobGiraffe's client is a specialist in transportation management.
JG ID #22-2147 - Channahon, IL 60410 – Pam Wing, Lead Recruiter
Job Type: Full-time
Pay: Up to $50,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Data Analysis / Data Analyst / Data Analytics: 1 year (Preferred)
Work Location: In person

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Urgently hiring
Job activity
Posted 3 days ago"
6,"Job details
Salary
$5,518 - $6,907 a month
Job Type
Full-time","Benefits
Pulled from the full job description
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance","This position is a statewide recruitment, the incumbent will be headquartered at any Investigations office, including but not limited to the following counties: Sacramento, Stanislaus, Los Angeles, Orange, San Diego, and Riverside.
Final Filing Date: 4/6/2023
Desirable Qualifications:
Gathers, tabulates, and analyzes data using various software packages
Evaluates, and projects data and evaluation criteria necessary to assess the impact of fraud by utilizing a variety of models, analytical methods, and software
Prepares plain-language documentation of the meaning of data, for use by investigative staff when interpreting analyses, reports, and data visualizations
Collects qualitative information from investigators, management, and other stakeholders regarding fraudulent behavior
Works with IT developers to test scripts and changes to reporting streams to better identify and measure the incidence of fraud
Prepares written report and oral presentations summarizing findings and analyses for use by investigative staff and management
Applicants must apply on the CalCareers link provided below:
calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=361141
Job Type: Full-time
Pay: $5,518.00 - $6,907.00 per month
Benefits:
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Work Location: One location

Health insurance","Hiring Insights
Hiring 2 candidates for this role
Urgently hiring
Job activity
Posted 19 days ago"
7,"Job details
Salary
$45,000 - $55,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
Dental insurance
Employee discount
Free flu shots
Free parking
Health insurance
Paid time off
Vision insurance","Medical Administrative and Data Analyst
ASAAR Medical is the leader in healthcare innovation. Located in Boca Raton, we are looking for a bright, polished, mature and steady analyst who has a command of their craft.
If you are an Excel expert and a Microsoft Office wiz and have the basic understanding of medical principals, we want to speak with you.
We offer a competitive salary and benefits package and bonuses.
Proven track record is a must and this is NOT a remote position.
Job Type: Full-time
Pay: $45,000.00 - $55,000.00 per year
Benefits:
401(k) matching
Dental insurance
Employee discount
Free flu shots
Free parking
Health insurance
Paid time off
Vision insurance
Healthcare setting:
Clinic
Medical office
Medical specialties:
Geriatrics
Internal Medicine
Schedule:
5x8
8 hour shift
Day shift
Monday to Friday
No weekends
Ability to commute/relocate:
Boca Raton, FL 33496: Reliably commute or planning to relocate before starting work (Required)
Education:
Associate (Preferred)
Experience:
Customer service: 3 years (Preferred)
Medical terminology: 3 years (Required)
Computer skills: 3 years (Required)
Work Location: In person

Health insurance","Hiring Insights
Application response rate: 71%
Hiring 1 candidate for this role
Urgently hiring
Job activity
Employer reviewed job 3 days ago
Posted 30+ days ago"
8,"Job details
Salary
$133,786 - $225,400 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
AD&D insurance
Adoption assistance
Dental insurance
Disability insurance
Employee stock purchase plan
Flexible spending account
Health insurance
Life insurance
Paid parental leave
Paid sick time
Paid time off
Parental leave
Pet insurance
Vision insurance","Details
Posted: 06-Apr-23
Location: Rocklin, California
Type: Full Time
Categories:
Operations
Academic Designation:
Industry
Work Function:
Analysts
Business Analysis
Operations Management
Internal Number: 385.19191
Oracle America, Inc. has openings for Business Analyst positions in Rocklin, California. Job duties include: Provide programs to improve operational efficiency, consistency, and compliance in support of the organization’s financial and tactical business objectives. May telecommute.
Range and benefit information provided in this posting are specific to the stated location(s).
California Pay Range: from $133,786 to $225,400 per annum; eligible for bonus and equity.
Oracle maintains broad salary ranges to account for variations in knowledge, skills, experience, market conditions, and to reflect Oracle’s differing products, industries & lines of business. Candidates typically placed into range based on preceding factors and internal peer equity.
Oracle's offered benefits include the following: (1) Medical, dental, and vision insurance, including expert medical opinion; (2) Short term disability and long term disability (3) Life insurance and AD&D; (4) Supplemental life insurance (Employee/Spouse/Child); (5) Health care and dependent care Flexible Spending Accounts; (6) Pre-tax commuter and parking benefits; (7) 401(k) Savings and Investment Plan with company match; (8) Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation. (9) 11 paid holidays; (10) Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours. (11) Paid parental leave; (12) Adoption assistance; (13) Employee Stock Purchase Plan; (14) Financial planning and group legal; (15) Voluntary benefits including auto, homeowner and pet insurance.
Apply by e-mailing resume to shubh.dwibedy@oracle.com, referencing 385.19191. Oracle supports workforce diversity.","Hiring Insights
Job activity
Posted 4 days ago"
9,"Job details
Salary
$65,000 - $75,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
401(k) matching
Continuing education credits
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Vision insurance","We are growing in Louisville! We are currently looking for a BCBA to build around in the Louisville area! The ideal candidate has experience leading great teams, recruiting quality team members, and a passion for providing top quality services to our clients and families. Adapt For Life is a privately owned company that originated out of New Albany, Indiana. We've since grown to 7 open clinics across Indiana and Kentucky and excited to bring out services to additional communities in 2023!
Job Responsibilities:
Provide evidence based behavior analytic services to assigned patients
Complete individualized assessments for assigned patients
Collect and analyze data
Create and revise functional goals and programs for patients based upon assessments, data collection and observation as well as evidence based interventions
Collaborate with families and other providers
Complete and submit all necessary paperwork for initial evaluations and reauthorization
Supervise and provide ongoing training to therapists and Registered Behavior Technicians
Supervise assigned students seeking certification as BCBA/BCaBA (if applicable)
Job Requirements:
Master’s Degree
Mental Health experience with co-diagnosis preferred
BCBA certification
Solid technical skills and passion for quality services
At least one year of experience in ABA
Excellent communication skills, both verbal and written
Organized and flexible
Excellent time management skills
Excellent computer skills
Reliable transportation
Job Benefits:
Medical, dental, vision and life insurance
6 Paid holidays, and up to 15 days paid time off
Salary will be commensurate with experience and certification
Matching 401(k) plan
Moving financial assistance available
$250+ per year for Continuing Education Credits
Certification or Licensure Renewal Fee reimbursement
Job Type: Full-time
Salary: $65,000-$75,000 (depending on experience) + weekly bonuses (up to $11,100 annually)
Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Retirement plan
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Bonus pay

License/Certification:

Board Certified Behavior Analyst Certification (Required)

Work Location: One location
Powered by JazzHR

PI210628063","Hiring Insights
Job activity
Posted 9 days ago"
